Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"Jalan Kuching, Kuala Lumpur",315000,3,2.0,1,Condominium,860,Partly Furnished,Condo,3.1864,101.6752
"KLCC, Kuala Lumpur",1570000,2,1.0,1,Serviced Residence,850,Fully Furnished,Serviced Residence,3.1578,101.7123
"Sentul, Kuala Lumpur",768000,4,3.0,3,Condominium (EndLot),1318,Partly Furnished,Condo,3.189,101.6896
"Sentul, Kuala Lumpur",687000,4,2.0,2,Condominium (EndLot),1200,Partly Furnished,Condo,3.189,101.6896
"Sentul, Kuala Lumpur",435000,2,2.0,2,Condominium (EndLot),794,Partly Furnished,Condo,3.189,101.6896
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",383000,2,1.0,1,Condominium (Intermediate),752,Partly Furnished,Condo,3.0925,101.6748
"Bukit Jalil, Kuala Lumpur",980000,3,2.0,1,Condominium (Intermediate),1440,Partly Furnished,Condo,3.0593,101.6895
"Cheras, Kuala Lumpur",661754,3,2.0,2,Serviced Residence (Intermediate),897,Fully Furnished,Serviced Residence,3.0958,101.7405
"Pantai, Kuala Lumpur",790000,3,2.0,2,Condominium (Corner),1400,Fully Furnished,Condo,3.1136,101.6633
"Cheras, Kuala Lumpur",320000,3,2.0,1,Apartment,850,Fully Furnished,Apartment,3.0958,101.7405
"Sungai Besi, Kuala Lumpur",350000,3,3.0,1,Serviced Residence,1045,Unfurnished,Serviced Residence,3.0645,101.7162
