Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Broad Property Type,Latitude,Longitude
"Sentul, Kuala Lumpur",480000,3,2.0,2,Serviced Residence (EndLot),982,Partly Furnished,Serviced Residence,3.189,101.6896
"Sungai Besi, Kuala Lumpur",370000,3,2.0,2,Serviced Residence,850,Fully Furnished,Serviced Residence,3.0645,101.7162
"Damansara, Kuala Lumpur",879000,4,3.0,2,2-sty Terrace/Link House,2368,Partly Furnished,Terrace/Link House,3.1368,101.6168
"Sri Hartamas, Kuala Lumpur",868000,3,2.0,1,Serviced Residence (Intermediate),1230,Fully Furnished,Serviced Residence,3.1665,101.6575
"Mont Kiara, Kuala Lumpur",1050000,4,4.0,2,Condominium,2208,Partly Furnished,Condo,3.1718,101.6501
"KLCC, Kuala Lumpur",993000,2,1.0,1,Serviced Residence (Corner),662,Fully Furnished,Serviced Residence,3.1578,101.7123
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",812000,4,4.0,2,Condominium,1250,Unfurnished,Condo,3.0925,101.6748
"Bandar Damai Perdana, Kuala Lumpur",443000,3,2.0,1,Townhouse (Intermediate),1250,Partly Furnished,Townhouse,3.0602,101.7381
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",2550000,5,6.0,4,Condominium,3511,Unfurnished,Condo,3.0925,101.6748
"Sungai Besi, Kuala Lumpur",850000,3,3.0,2,Serviced Residence (Corner),1430,Fully Furnished,Serviced Residence,3.0645,101.7162
"Sungai Besi, Kuala Lumpur",640000,3,2.0,2,Serviced Residence (Intermediate),1025,Fully Furnished,Serviced Residence,3.0645,101.7162
"KLCC, Kuala Lumpur",1510000,2,2.0,1,Serviced Residence,1055,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1450000,1,1.0,1,Serviced Residence,764,Fully Furnished,Serviced Residence,3.1578,101.7123
"KLCC, Kuala Lumpur",1300000,1,1.0,2,Serviced Residence,925,Partly Furnished,Serviced Residence,3.1578,101.7123
"Bukit Bintang, Kuala Lumpur",1360000,1,1.0,1,Serviced Residence,652,Fully Furnished,Serviced Residence,3.1466,101.7093
"KLCC, Kuala Lumpur",1205000,1,1.0,1,Serviced Residence,636,Fully Furnished,Serviced Residence,3.1578,101.7123
